the_geom,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,Location,Borough,Date_Insta,POINT_X,POINT_Y,FEMAFldz,FEMAFldT,HrcEvac
POINT (-73.85276638996864 40.889505976392),2,Bronx,212,12,83,36,16,Bronxwood Avenue and East 230th Street,Bronx,03/10/2022,-73.8527663531,40.8895054856,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.90668633099119 40.64087491901201),3,Brooklyn,318,46,59,19,8,Remsen Avenue and Conklin Avenue,Brooklyn,06/14/2021,-73.90668645,40.64087441,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.90118345996434 40.87507390658291),2,Bronx,208,14,81,33,13,Sedgwick Avenue and West 230th Street (mid-block),Bronx,03/08/2019,-73.90118335,40.87507347,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.97649830979658 40.78831498011844),1,Manhattan,107,6,67,31,10,Broadway and West 86th Street,Manhattan,07/30/2019,-73.97649808,40.78831448,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94852323261354 40.7446591137968),4,Queens,402,26,37,12,12,Jackson Avenue and 21st Street,Queens,06/30/2019,-73.94852308,40.74465851,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,3
POINT (-73.8913106005232 40.82498237234355),2,Bronx,202,17,85,32,15,Westchester Avenue and West Farm Road,Bronx,04/05/2020,-73.89131053,40.82498183,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98504309428004 40.753554354529776),1,Manhattan,105,4,75,27,12,Avenue of the Americas at West 40th Street,Manhattan,03/30/2020,-73.98504285,40.75355379,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.90764459421163 40.74528963175458),4,Queens,402,26,30,12,14,Roosevelt Avenue and 57th Street,Queens,03/05/2021,-73.90764453,40.74528898,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.93836434575917 40.701544886419846),3,Brooklyn,304,34,53,18,7,Flushing Avenue and Garden Street,Brooklyn,10/07/2020,-73.9383643,40.70154434,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.79174380227687 40.725790671918844),4,Queens,408,24,25,11,6,Union Turnpike and Utopia Parkway,Queens,10/16/2019,-73.79174401,40.7257899,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.92872032187427 40.664495818018196),3,Brooklyn,317,41,55,20,9,"East New York Avenue with East 93rd Street, Ford Street and Rochester Avenue",Brooklyn,03/15/2022,-73.9287203638,40.6644953138,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94927490876161 40.62407340169576),3,Brooklyn,314,45,42,17,9,Avenue K and East 27th Street,Brooklyn,04/06/2022,-73.949275,40.624073,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-74.01318616403543 40.704041780703356),1,Manhattan,101,1,65,26,10,Stone Street and Whitehall Street,Manhattan,06/07/2012,-74.01318599,40.70404135,X,AREA OF MINIMAL FLOOD HAZARD,1
POINT (-73.83372593667762 40.68776147673619),4,Queens,409,28,38,10,5,101st Avenue and 110th Street,Queens,03/31/2022,-73.833726104,40.6877607917,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94148065719871 40.59830406579452),3,Brooklyn,315,48,41,19,9,Nostrand Avenue and Avenue V,Brooklyn,02/04/2022,-73.94148081,40.59830369,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.9415303157853 40.60758049013321),3,Brooklyn,315,46,59,22,9,Gerritsen Avenue and Avenue R (South Leg),Brooklyn,01/06/2021,-73.94153045,40.6075801,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.97268635911817 40.687417021967065),3,Brooklyn,302,35,57,25,8,Lafayette Avenue and Cumberland Street,Brooklyn,01/05/2022,-73.97268628,40.68741655,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.00467822493992 40.65720282171012),3,Brooklyn,307,38,51,25,7,3rd Avenue and 33rd Street,Brooklyn,10/23/2015,-74.00467817,40.65720246,X,AREA OF MINIMAL FLOOD HAZARD,1
POINT (-73.98519246587034 40.76354522225681),1,Manhattan,104,3,67,27,10,Eighth Avenue and West 52nd Street,Manhattan,10/14/2019,-73.98519222,40.76354468,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.92508007004196 40.673844984548545),3,Brooklyn,308,41,56,25,8,Buffalo Avenue and Saint Marks Avenue,Brooklyn,01/19/2021,-73.9250801,40.67384446,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.82441657208734 40.872600980289896),2,Bronx,210,12,82,36,16,Co-Op City Boulevard and 550’ North of Bellamy Loop North (mid-block),Bronx,12/04/2019,-73.8244165724,40.8726009806,AE,,3
POINT (-74.00531481032922 40.72860534791846),1,Manhattan,102,3,66,27,10,Varick Street and West Houston Street,Manhattan,06/30/2021,-74.00531458,40.72860485,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-74.00132476011214 40.746493064809194),1,Manhattan,104,3,75,27,10,9th Avenue and West  23rd Street,Manhattan,07/24/2018,-74.00132449,40.74649252,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-74.10811288304636 40.630255761578276),5,Staten Island,501,49,61,24,11,Forest Avenue and Davis Avenue,Staten Island,08/30/2019,-74.10811294,40.63025558,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.77610341969572 40.67411522677946),4,Queens,412,28,32,10,5,Guy R Brewer Boulevard and JHS 72 (mid-block),Queens,08/24/2020,-73.7761037,40.67411446,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.76085109799213 40.761585496602166),4,Queens,411,19,26,11,6,Northern Boulevard and 220th Place,Queens,12/20/2021,-73.76085134,40.76158469,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.92102846148343 40.83799996517954),2,Bronx,204,16,84,29,15,West 169th Street with Cromwell Avenue and Inwood Avenue,Bronx,08/12/2020,-73.92102833,40.83799949,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-74.01549106946979 40.643670059452056),3,Brooklyn,307,38,51,20,7,4th Avenue and 55th Street,Brooklyn,10/22/2015,-74.01549105,40.64366974,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.83864883380949 40.68143967163156),4,Queens,410,32,38,15,5,Liberty Avenue and 102nd Street,Queens,06/30/2021,-73.838649,40.681439,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.90801029884197 40.71301427667478),4,Queens,405,30,37,15,7,Metropolitan Avenue and 55th Street,Queens,06/30/2021,-73.90801029,40.71301367,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.96551038320898 40.68134366168783),3,Brooklyn,308,35,57,25,8,Atlantic Avenue and Waverly Avenue,Brooklyn,08/25/2020,-73.96551033,40.68134319,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.00647846861206 40.71123092114796),1,Manhattan,101,1,66,26,10,Beekman Street and Nassau Street,Manhattan,08/27/2016,-74.00647828,40.71123046,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.90009775671979 40.84920960531675),2,Bronx,205,15,86,33,15,Webster Avenue between East Tremont and East 178th Street,Bronx,09/05/2013,-73.90009766,40.84920912,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9360060231205 40.69740723351731),3,Brooklyn,304,34,53,18,7,Broadway and Melrose Street,Brooklyn,10/07/2021,-73.93600599,40.69740669,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94068810965962 40.6963519652394),3,Brooklyn,303,36,54,18,8,Myrtle Avenue and Marcus Garvey Boulevard (Sumner Avenue),Brooklyn,12/07/2021,-73.94068807,40.69635143,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.84994629247089 40.73360766577636),4,Queens,406,29,27,16,6,108th Street and 63rd Drive,Queens,11/14/2019,-73.84994637,40.73360696,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.92768814704333 40.67566369313033),3,Brooklyn,308,36,56,25,8,Rochester Avenue and Dean Street,Brooklyn,11/17/2016,-73.92768817,40.67566317,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9114716473865 40.84731954180168),2,Bronx,205,14,86,33,15,East 175th Street and Townsend Avenue,Bronx,09/17/2019,-73.91147153,40.84731907,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94226247258857 40.806415387254006),1,Manhattan,111,9,68,30,13,5th Avenue and 125th Street,Manhattan,11/05/2016,-73.94226231,40.80641488,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.99587567221347 40.73868691744958),1,Manhattan,104,3,75,27,12,Avenue of the Americas and West 16th Street,Manhattan,08/08/2019,-73.99587543,40.73868638,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.94282551362816 40.65110911845001),3,Brooklyn,317,45,58,21,9,Church Avenue and East 37th Street,Brooklyn,02/10/2020,-73.94282556,40.65110866,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.80063606099536 40.6742924668523),4,Queens,412,28,32,10,5,Rockaway Boulevard and 140th Street,Queens,04/07/2021,-73.8006363,40.67429174,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.91939493411122 40.82587820069981),2,Bronx,204,16,79,32,15,East 161st Street and Grant Avenue (mid-block),Bronx,04/02/2019,-73.91939481,40.8258777,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.8826282368809 40.71827215690824),4,Queens,405,30,30,15,6,Juniper Boulevard South and 74th Street,Queens,02/08/2022,-73.88262827,40.71827151,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94181553537081 40.627314011992425),3,Brooklyn,318,45,41,21,9,Flatbush Avenue with Brooklyn Avenue and Avenue J,Brooklyn,12/23/2015,-73.94181563,40.62731359,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-74.0940699044994 40.61770521334258),5,Staten Island,501,49,61,23,11,Howard Avenue and Hillside Avenue,Staten Island,09/24/2014,-74.09407,40.61770502,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.97273031966614 40.62366663516338),3,Brooklyn,312,44,48,17,10,Bay Parkway with Avenue J and East 4th Street,Brooklyn,01/02/2020,-73.97273038,40.62366628,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98474309946845 40.73951216288787),1,Manhattan,105,2,74,28,12,Lexington Avenue and East 23rd Street,Manhattan,08/19/2018,-73.98474288,40.73951161,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.98070260850636 40.68532437576917),3,Brooklyn,302,33,52,25,8,Atlantic Avenue and 3rd Avenue,Brooklyn,09/10/2018,-73.98070252,40.68532392,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.73708342927598 40.733419138676425),4,Queens,413,23,24,11,3,Hillside Avenue and 233rd Street,Queens,11/06/2020,-73.73708369,40.73341831,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.91405504746994 40.69406904064788),3,Brooklyn,304,37,54,18,7,Wilson Avenue and Madison Street,Brooklyn,03/02/2021,-73.91405506,40.69406847,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.97004595822638 40.80226492848386),1,Manhattan,107,6,69,31,10,Riverside Drive and West 106th Street,Manhattan,12/04/2018,-73.97004574,40.80226445,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.0128282027706 40.625455940279096),3,Brooklyn,310,43,46,22,11,10th Avenue and 73rd Street,Brooklyn,07/28/2020,-74.01282823,40.62545565,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.0053252053019 40.71827447778542),1,Manhattan,101,1,66,26,10,Church Street with Franklin Street and Avenue of the Americas,Manhattan,04/11/2022,-74.005325,40.718274,X,AREA OF MINIMAL FLOOD HAZARD,2
POINT (-73.94859181257202 40.650856558096976),3,Brooklyn,317,40,43,20,9,Church Avenue with Fairview Place and East 31st Street,Brooklyn,12/07/2020,-73.94859185,40.65085611,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.93397951422065 40.76282740400974),4,Queens,401,22,36,12,12,21st Street and 34th Avenue,Queens,03/05/2020,-73.93397938,40.7628268,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.7816516870069 40.75470726171179),4,Queens,411,19,25,11,6,Francis Lewis Boulevard and 46th Avenue,Queens,07/16/2020,-73.78165189,40.75470647,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.88987304932637 40.678301696892134),3,Brooklyn,305,37,55,18,7,Fulton Street and Schenck Avenue,Brooklyn,03/25/2022,-73.8898731319,40.6783011098,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98461949386765 40.759200222911126),1,Manhattan,105,4,75,27,12,7th Avenue and West 47th Street,Manhattan,02/24/2017,-73.98461925,40.75919967,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.93498780113978 40.6208655911293),3,Brooklyn,318,45,41,19,8,Flatbush Avenue and Avenue M,Brooklyn,03/17/2022,-73.9349879174,40.6208651661,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.97833379862894 40.69614110925769),3,Brooklyn,302,35,57,25,8,Park Avenue and Saint Edwards Street,Brooklyn,12/11/2020,-73.97833369,40.69614063,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.82502831411253 40.7367823391792),4,Queens,408,24,27,16,6,Main Street and Pedestrian Crossing between 63rd Avenue & Gravett Road (mid-block),Queens,02/25/2019,-73.82502844,40.7367816,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.85519846163525 40.84225911437868),2,Bronx,211,13,87,33,14,East Tremont Avenue at Purdy Street,Bronx,07/29/2020,-73.85519845,40.84225855,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.93220182052829 40.7963587505112),1,Manhattan,111,8,68,29,13,Pleasant Avenue and East 118th Street,Manhattan,08/08/2020,-73.93220168,40.79635821,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,3
POINT (-73.90002447416998 40.81859506109341),2,Bronx,202,17,84,32,15,Longwood Avenue and Hewitt Place,Bronx,12/06/2021,-73.90002439,40.81859452,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9947584708331 40.57788091203258),3,Brooklyn,313,47,46,23,8,Neptune Avenue and West 28th Street,Brooklyn,01/21/2021,-73.99475861,40.57788069,AE,,1
POINT (-73.9538802362157 40.585722018147656),3,Brooklyn,315,48,45,23,9,Shore Parkway and Voorhies Avenue,Brooklyn,01/27/2022,-73.9538804,40.58572169,AE,,1
POINT (-73.80774161975935 40.70058306357279),4,Queens,412,27,32,10,5,Sutphin Boulevard and Archer Avenue,Queens,03/13/2017,-73.80774182,40.70058233,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95835112649758 40.760535930487045),1,Manhattan,108,5,76,28,12,York Avenue and East 62nd Street,Manhattan,07/22/2012,-73.95835094,40.76053535,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.91387305991411 40.87135116300207),1,Manhattan,112,10,72,31,13,Broadway with West 218th Street and 10th Avenue,Manhattan,03/03/2017,-73.91387293,40.87135074,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.99433210766477 40.64059957613503),3,Brooklyn,312,39,48,17,10,Ft. Hamilton Parkway with 44th Street and New Utrecht Avenue,Brooklyn,07/20/2021,-73.9943321,40.64059923,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.97651322254674 40.5914517380029),3,Brooklyn,313,47,45,23,11,86th Street and West 6th Street,Brooklyn,07/16/2021,-73.97651335,40.59145145,X,AREA OF MINIMAL FLOOD HAZARD,2
POINT (-73.95259033440395 40.81076497508221),1,Manhattan,110,9,70,30,13,St Nicholas Avenue and West 125th Street,Manhattan,10/21/2016,-73.95259015,40.81076449,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.0032622842145 40.714517385918455),1,Manhattan,101,1,66,26,10,Lafayette Street and Pedestrian crossing (Pearl Street),Manhattan,01/27/2017,-74.00326209,40.71451691,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.8986150372219 40.74077865625204),4,Queens,402,26,34,12,14,Queens Boulevard and 66th Street (BQE East Bound Entrance),Queens,04/10/2022,-73.898615,40.740778,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98898487530197 40.694778680787365),3,Brooklyn,302,33,52,25,7,Adams Street between Fulton Street and Johnson Street (mid-block),Brooklyn,02/21/2012,-73.98898475,40.69477822,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.96188578063203 40.60733750808831),3,Brooklyn,315,48,45,17,11,Coney Island Avenue and Kings Highway,Brooklyn,05/08/2020,-73.96188589,40.60733716,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.92828384205842 40.66144884014052),3,Brooklyn,317,41,58,20,9,Rutland Road and East 91st Street,Brooklyn,07/27/2021,-73.92828389,40.66144834,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.92920071002794 40.85052384910254),1,Manhattan,112,10,72,31,13,Amsterdam Avenue and West 185th Street,Manhattan,05/28/2020,-73.92920056,40.85052341,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9594935687849 40.81700908235744),1,Manhattan,109,7,70,31,13,West 125th Street with St Clair Place and West 129th Street,Manhattan,02/18/2022,-73.95949337,40.81700862,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.97854076129096 40.73688719530517),1,Manhattan,106,4,74,27,12,1st Avenue and East 23rd Street,Manhattan,05/15/2018,-73.97854056,40.73688664,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.95064583645488 40.6608265212424),3,Brooklyn,309,40,43,20,9,Nostrand Avenue and Maple Street,Brooklyn,04/20/2021,-73.95064585,40.66082606,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98085321287657 40.71355437841833),1,Manhattan,103,2,65,26,7,Madison Street and 300' west of Jackson Street,Manhattan,09/12/2017,-73.98085306,40.71355387,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.91726309773908 40.619547708278105),3,Brooklyn,318,46,59,19,8,Ralph Avenue and Avenue N,Brooklyn,01/31/2022,-73.91726324,40.61954725,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.99174246109753 40.69099363990561),3,Brooklyn,302,33,52,26,7,Court Street and Schermerhorn Street,Brooklyn,08/27/2012,-73.99174234,40.69099319,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.99658171389571 40.61655525407717),3,Brooklyn,311,43,49,22,10,17th Avenue and 72nd Street,Brooklyn,04/12/2020,-73.99658176,40.61655496,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.90088542858365 40.84941064431697),2,Bronx,205,15,86,33,15,Valentine Avenue and East 178th Street,Bronx,10/28/2016,-73.90088533,40.84941016,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.806197270214 40.67478503788066),4,Queens,410,28,31,10,5,Rockaway Boulevard with 132nd Street and 120th Avenue,Queens,08/17/2020,-73.8061975,40.67478432,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.87064307532519 40.732720080035456),4,Queens,404,25,35,16,6,Woodhaven Boulevard (NB) and Long Island Epressway entrance ramp,Queens,03/14/2012,-73.87064311,40.7327194,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.83662507489804 40.88211925935953),2,Bronx,212,12,83,36,16,Boston Road and Boller Avenue (South Leg),Bronx,04/14/2021,-73.83662507,40.88211873,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98553661613971 40.757973444356985),1,Manhattan,105,4,75,27,12,Broadway and 7th Avenue with West 45th Street,Manhattan,02/24/2017,-73.98553637,40.75797289,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94351254234475 40.83593264659851),1,Manhattan,112,7,71,31,13,Broadway and West 160th Street,Manhattan,10/23/2019,-73.94351237,40.8359322,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94343984026351 40.708782701184006),3,Brooklyn,301,34,53,18,7,Graham Avenue and Scholes Street,Brooklyn,03/22/2021,-73.94343977,40.70878215,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95269073242133 40.72045107836841),3,Brooklyn,301,33,50,26,12,Driggs Avenue and Union Avenue (mid-block),Brooklyn,09/13/2018,-73.95269062,40.72045052,AE,,3
POINT (-73.980741746087 40.73384771664088),1,Manhattan,106,2,74,27,12,1st Avenue and East 18th  Street,Manhattan,02/03/2018,-73.9807417464,40.7338477164,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-74.00015842980176 40.61311058078799),3,Brooklyn,311,43,49,22,10,17th Avenue and 78th Street,Brooklyn,04/05/2021,-74.00015848,40.6131103,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.8965615487282 40.868564835922214),2,Bronx,207,14,78,33,13,Jerome Avenue and West 195th Street,Bronx,04/16/2019,-73.89656145,40.86856438,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.96263400735069 40.59598525665447),3,Brooklyn,315,47,45,22,11,Avenue V and East 8th Street,Brooklyn,05/28/2020,-73.96263414,40.59598493,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.98672163986318 40.715954114949035),1,Manhattan,103,1,65,26,12,Clinton Street between East Broadway and Grand Street,Manhattan,06/29/2017,-73.98672147,40.71595361,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.92780621301837 40.76988865736181),4,Queens,401,22,36,12,12,21st Street and 30th Avenue,Queens,01/26/2022,-73.92780609,40.76988806,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.85235656998327 40.69346166806915),4,Queens,409,32,38,15,7,Woodhaven Boulevard West Service Road and 147’ South of Jamaica Avenue,Queens,10/23/2018,-73.8523565702,40.6934616681,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.8969130235643 40.73508651030312),4,Queens,405,30,30,15,14,Maurice Avenue and 68th Street,Queens,02/24/2021,-73.896913,40.73508586,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.81532979349117 40.68220870896162),4,Queens,410,28,31,10,5,111th Avenue with 126th Street and Hawtree Creek Road,Queens,04/06/2022,-73.81533,40.682208,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.84605571846272 40.737099364436204),4,Queens,406,29,27,16,6,Grand Central Parkway and 62nd Drive,Queens,04/28/2020,-73.8460558,40.73709865,AE,,2
POINT (-73.96200741200934 40.80550957309912),1,Manhattan,109,7,70,30,10,Amsterdam Avenue and West 114th Street,Manhattan,08/12/2016,-73.96200721,40.80550909,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.90242207792312 40.89099676586056),2,Bronx,208,11,81,34,16,Manhattan College Parkway and Waldo Avenue,Bronx,11/22/2019,-73.90242196,40.89099636,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.96186247146488 40.65488178118526),3,Brooklyn,314,40,43,21,9,Ocean Avenue and Prospect Park South Entrance (mid-block),Brooklyn,12/13/2018,-73.96186248,40.65488135,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.96417456423143 40.792363046988534),1,Manhattan,164,6,68,29,13,Central Park West and West 97th Street,Manhattan,09/11/2019,-73.96417436,40.79236254,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94943320040717 40.634507929402474),3,Brooklyn,314,45,42,21,9,Flatbush Avenue and Glenwood Road (west leg),Brooklyn,10/12/2016,-73.94943327,40.63450751,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-74.00441852760599 40.65430983579092),3,Brooklyn,307,38,51,20,7,4th Avenue and 36th Street,Brooklyn,03/29/2016,-74.00441848,40.65430948,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.94874334444258 40.63202084609572),3,Brooklyn,314,45,42,21,9,Hillel Place and Campus Road (North Side),Brooklyn,08/07/2015,-73.94874342,40.63202043,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-74.23006246769594 40.50775383603723),5,Staten Island,503,51,62,24,11,Hylan Boulevard and Page Avenue,Staten Island,03/10/2020,-74.23006322,40.50775359,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.84386191410279 40.72162693230706),4,Queens,406,29,28,16,6,Queens Boulevard with 71st Avenue and 108th Street,Queens,03/07/2020,-73.84386202,40.72162623,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.92159992099302 40.65064449519611),3,Brooklyn,317,45,58,21,9,Snyder Avenue and East 59th Street,Brooklyn,10/25/2021,-73.9216,40.650644,X,AREA OF MINIMAL FLOOD HAZARD,6
